Node: 0, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
20.0.25.0       10.0.4.2        255.255.255.0   UGS   229    -      -   1
20.0.9.0        10.0.4.2        255.255.255.0   UGS   316    -      -   1

Node: 9, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.4.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.15.0       0.0.0.0         255.255.255.0   U     0      -      -   2
20.0.16.0       0.0.0.0         255.255.255.0   U     0      -      -   3
10.0.0.0        10.0.4.1        255.255.255.0   UGS   180    -      -   1
10.0.3.0        10.0.4.1        255.255.255.0   UGS   86     -      -   1
20.0.2.0        10.0.4.1        255.255.255.0   UGS   169    -      -   1
10.0.9.0        20.0.15.2       255.255.255.0   UGS   112    -      -   2
20.0.5.0        20.0.15.2       255.255.255.0   UGS   138    -      -   2
20.0.6.0        20.0.15.2       255.255.255.0   UGS   118    -      -   2
20.0.7.0        20.0.15.2       255.255.255.0   UGS   101    -      -   2
10.0.15.0       20.0.16.2       255.255.255.0   UGS   165    -      -   3
20.0.12.0       20.0.16.2       255.255.255.0   UGS   189    -      -   3
20.0.26.0       20.0.16.2       255.255.255.0   UGS   190    -      -   3
10.0.14.0       20.0.16.2       255.255.255.0   UGS   194    -      -   3
10.0.11.0       20.0.16.2       255.255.255.0   UGS   221    -      -   3
20.0.22.0       20.0.16.2       255.255.255.0   UGS   213    -      -   3
10.0.2.0        20.0.15.2       255.255.255.0   UGS   148    -      -   2
10.0.6.0        20.0.15.2       255.255.255.0   UGS   145    -      -   2
20.0.8.0        20.0.15.2       255.255.255.0   UGS   134    -      -   2
10.0.21.0       20.0.16.2       255.255.255.0   UGS   200    -      -   3
10.0.10.0       20.0.16.2       255.255.255.0   UGS   268    -      -   3
20.0.10.0       20.0.16.2       255.255.255.0   UGS   257    -      -   3
20.0.0.0        10.0.4.1        255.255.255.0   UGS   270    -      -   1
20.0.3.0        20.0.15.2       255.255.255.0   UGS   192    -      -   2
20.0.25.0       20.0.16.2       255.255.255.0   UGS   219    -      -   3
20.0.9.0        20.0.16.2       255.255.255.0   UGS   306    -      -   3
10.0.1.0        10.0.4.1        255.255.255.0   UGS   280    -      -   1
20.0.18.0       10.0.4.1        255.255.255.0   UGS   358    -      -   1
20.0.19.0       10.0.4.1        255.255.255.0   UGS   373    -      -   1
10.0.5.0        20.0.15.2       255.255.255.0   UGS   202    -      -   2
10.0.7.0        20.0.15.2       255.255.255.0   UGS   234    -      -   2
20.0.4.0        20.0.15.2       255.255.255.0   UGS   226    -      -   2
10.0.20.0       20.0.16.2       255.255.255.0   UGS   230    -      -   3

Node: 10, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.5.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.3.0        0.0.0.0         255.255.255.0   U     0      -      -   2
20.0.9.0        10.0.5.2        255.255.255.0   UGS   80     -      -   1
10.0.9.0        20.0.3.2        255.255.255.0   UGS   91     -      -   2
20.0.8.0        20.0.3.2        255.255.255.0   UGS   80     -      -   2
10.0.10.0       10.0.5.2        255.255.255.0   UGS   91     -      -   1
20.0.10.0       10.0.5.2        255.255.255.0   UGS   127    -      -   1
10.0.11.0       10.0.5.2        255.255.255.0   UGS   135    -      -   1
10.0.2.0        20.0.3.2        255.255.255.0   UGS   118    -      -   2
20.0.7.0        20.0.3.2        255.255.255.0   UGS   118    -      -   2
20.0.5.0        20.0.3.2        255.255.255.0   UGS   172    -      -   2
20.0.6.0        20.0.3.2        255.255.255.0   UGS   108    -      -   2
10.0.8.0        20.0.3.2        255.255.255.0   UGS   127    -      -   2
10.0.14.0       10.0.5.2        255.255.255.0   UGS   165    -      -   1
20.0.22.0       10.0.5.2        255.255.255.0   UGS   154    -      -   1
10.0.4.0        20.0.3.2        255.255.255.0   UGS   202    -      -   2
10.0.16.0       20.0.3.2        255.255.255.0   UGS   216    -      -   2
20.0.14.0       20.0.3.2        255.255.255.0   UGS   277    -      -   2
20.0.15.0       20.0.3.2        255.255.255.0   UGS   192    -      -   2
20.0.16.0       20.0.3.2        255.255.255.0   UGS   275    -      -   2
20.0.17.0       20.0.3.2        255.255.255.0   UGS   206    -      -   2
